id,skill_raw,taxonomy_id,taxonomy_name,score,match_status
1,gestão de pessoas,1,Gestão de Pessoas,0.7473,matched
2,People Management,1,Gestão de Pessoas,0.7807,matched
3,SQL,32,SQL,0.7482,matched
4,sql avançado,32,SQL,0.7421,matched
5,machine learning,40,Machine Learning,0.8244,matched
6,comunicação assertiva,2,Comunicação Assertiva,0.7961,matched
7,python,31,Python,0.6691,matched
8,PYTHON,31,Python,0.6691,matched
9,análise de dados,39,Análise de Dados,0.7847,matched
10,resolução de conflitos,3,Resolução de Conflitos,0.8314,matched
11,power bi,76,Power BI,0.6511,matched
12,PowerBI,,,0.5265,no_match
13,espiritualidade,,,0.3123,no_match
14,excel avançado,,,0.5923,no_match
15,scrum,,,0.3433,no_match
16,Metodologias Ágeis,,,0.54,no_match
17,storytelling com dados,21,Storytelling com Dados,0.8644,matched
18,pensamento crítico,6,Pensamento Crítico,0.7279,matched
19,Critical Thinking,6,Pensamento Crítico,0.7806,matched
20,versionamento de código,,,0.5629,no_match
21,Git,,,0.2583,no_match
22,cloud computing,67,Google Cloud Platform,0.718,matched
23,AWS,,,0.3906,no_match
24,engenharia de dados,51,Engenharia de Dados,0.7751,matched
25,ETL,,,0.4308,no_match
26,visão de produto,14,Visão de Produto,0.7661,matched
27,Product Sense,14,Visão de Produto,0.7059,matched
28,Alinhamento com o universo,,,0.319,no_match
29,inteligência emocional,4,Inteligência Emocional,0.8267,matched
30,negociação,5,Negociação,0.7815,matched
